Question,Answer
"Given the concept abstractive summarization, can you provide some similar concepts? Please provide some similar concepts.",extractive summarization;neural abstractive summarization model;extractive summarization model;controllable summarization;single document summarization
"Given the concept adversarial attack, can you provide some similar concepts? Please provide some similar concepts.",adversarial search;adversarial sample;adversarial purification
"Given the concept agent-based view of ai, can you provide some similar concepts? Please provide some similar concepts.",game playing in ai;multi-agent systems;logic and logical agents
"Given the concept AlphaGo, can you provide some similar concepts? Please provide some similar concepts.",game playing in ai;agent-based view of ai;deep learning tools;chinese nlp;generative adversarial networks;neural question answering;monte carlo tree search
"Given the concept aspect-sentiment pairs, can you provide some similar concepts? Please provide some similar concepts.",sentiment analysis;sentence embeddings;aspect extraction;sentence representations;text classification
"Given the concept autoencoders, can you provide some similar concepts? Please provide some similar concepts.",encoder;decoder;entropy;recursive neural network;perceptron;neural network;recursive neural networks
"Given the concept bayes theorem, can you provide some similar concepts? Please provide some similar concepts.",bayesian network;variational bayes models;conditional probability;Naive Bayes;probabilities;maximum likelihood estimation
"Given the concept beam search, can you provide some similar concepts? Please provide some similar concepts.",heuristic search;graph theory;greedy algorithm;a* search
"Given the concept Belief Propagation, can you provide some similar concepts? Please provide some similar concepts.",conditional probability;bayes theorem;bayesian network;message passing
"Given the concept BERT, can you provide some similar concepts? Please provide some similar concepts.",ELMo;Transformers;language modeling; transformers; pretrained language modeling;word embeddings
"Given the concept bidirectional recurrent neural networks, can you provide some similar concepts? Please provide some similar concepts.",recurrent neural networks;lstm;neural networks;convolutional neural networks
"Given the concept bilingual word embeddings, can you provide some similar concepts? Please provide some similar concepts.",multilingual word embedding;cross-lingual word embeddings;unsupervised bilingual word embeddings;monolingual word embeddings;cross lingual word embeddings;word embeddings;cross lingual embeddings
"Given the concept Canonical Correlation Analysis, can you provide some similar concepts? Please provide some similar concepts.",Principal Component Analysis;linear discriminant analysis;linear regression
"Given the concept citation networks, can you provide some similar concepts? Please provide some similar concepts.",knowledge graph;collaborative filtering;recommendation systems;social network extraction;graph-based nlp;named entity recognition
"Given the concept computer vision, can you provide some similar concepts? Please provide some similar concepts.",nlp and vision;image classification;visual semantic;object detection;machine learning;entity detection;Visual Question Answering
"Given the concept context-sensitive grammars, can you provide some similar concepts? Please provide some similar concepts.",context sensitive grammar;context free grammars;context free grammar;probabilistic grammars;probabilistic context free grammars
"Given the concept contextualized embeddings, can you provide some similar concepts? Please provide some similar concepts.",pretrained contextual embeddings;word embeddings;representation learning;contextualized representation;entity embeddings;cross lingual embeddings;multimodal embeddings;sentence embeddings
"Given the concept convolutional neural networks, can you provide some similar concepts? Please provide some similar concepts.",graph convolutional networks;recursive neural networks;neural networks;recursive neural network;recurrent neural networks
"Given the concept decision trees, can you provide some similar concepts? Please provide some similar concepts.",random forest;expert systems;support vector machines;machine learning;classification
"Given the concept decoder, can you provide some similar concepts? Please provide some similar concepts.",encoder;dialog systems;sequence to sequence;Autoencoders;text generation
"Given the concept dense retrieval, can you provide some similar concepts? Please provide some similar concepts.",sparse retrieval;hybrid retrieval;information retrieval;image retrieval;evaluation of information retrieval;information extraction
"Given the concept Dependency graph, can you provide some similar concepts? Please provide some similar concepts.",dependency parsing;parsing;dependency syntax
"Given the concept dialog systems, can you provide some similar concepts? Please provide some similar concepts.",dialog generation;dialogue modeling;chat bots;question answering system;text generation
"Given the concept document ranking, can you provide some similar concepts? Please provide some similar concepts.",document representation;document modeling;Hierarchical document encoder;search engine indexing;pagerank;information retrieval
"Given the concept domain adaptation, can you provide some similar concepts? Please provide some similar concepts.",representation learning;transfer learning
"Given the concept earley parsing, can you provide some similar concepts? Please provide some similar concepts.",parsing;unlexicalized parsing;shallow parsing;semantic parsing;lexicalized parsing;classic parsing methods;neural parsing
"Given the concept emotion recognition, can you provide some similar concepts? Please provide some similar concepts.",multi-modal emotion recognition;facial recognition systems
"Given the concept evaluation of information retrieval, can you provide some similar concepts? Please provide some similar concepts.",information retrieval;toolkits for information retrieval;information extraction;image retrieval;sparse retrieval
"Given the concept event extraction, can you provide some similar concepts? Please provide some similar concepts.",clinical event extraction;event detection;information extraction;relation extraction;social network extraction
"Given the concept feature selection, can you provide some similar concepts? Please provide some similar concepts.",feature learning;aspect extraction;sparse retrieval;representation learning
"Given the concept finite state machine, can you provide some similar concepts? Please provide some similar concepts.",finite state transducers;State Space Models;neural turing machin
"Given the concept first-order logic, can you provide some similar concepts? Please provide some similar concepts.",first order logic;propositional logic;predicate logic;logic and reasoning;logic and logical agents
"Given the concept Gaussian graphical models, can you provide some similar concepts? Please provide some similar concepts.",Kernel Graphical Models;graphical models;graph theory
"Given the concept graph-based nlp, can you provide some similar concepts? Please provide some similar concepts.",information extraction;nlp for databases
"Given the concept greedy algorithms, can you provide some similar concepts? Please provide some similar concepts.",genetic algorithms;expectation maximization algorithm;heuristic search;latent dirichlet allocation;monte carlo tree search
"Given the concept heuristic search, can you provide some similar concepts? Please provide some similar concepts.",a* search
"Given the concept hierarchical attention network, can you provide some similar concepts? Please provide some similar concepts.",long short term memory networks;recursive neural network;recursive neural networks;neural networks;recurrent neural network;neural network;attention model
"Given the concept image classification, can you provide some similar concepts? Please provide some similar concepts.",image retrieval;relation classification;text classification;imagenet;entity detection;object detection
"Given the concept imagenet, can you provide some similar concepts? Please provide some similar concepts.",image classification;image retrieval;ResNet;computer vision;entity detection;object detection;feature learning
"Given the concept kernels, can you provide some similar concepts? Please provide some similar concepts.",kernel function;k means;neural networks
"Given the concept knowledge graph, can you provide some similar concepts? Please provide some similar concepts.",knowledge graph completion;knowledge representation;knowledge base population;relation extraction;graph-based nlp
"Given the concept language models, can you provide some similar concepts? Please provide some similar concepts.",language model;language modeling;character level language models;multilingual model;character level language model;evaluation of language modeling;hybrid language modeling
"Given the concept latent dirichlet allocation, can you provide some similar concepts? Please provide some similar concepts.",Dirichlet Processes;latent variable models;maximum likelihood estimation;markov random fields;kullback leibler divergence;topic modeling
"Given the concept lexicalized parsing, can you provide some similar concepts? Please provide some similar concepts.",unlexicalized parsing;semantic parsing;lexical semantics;neural parsing
"Given the concept linear discriminant analysis, can you provide some similar concepts? Please provide some similar concepts.",linear regression;logistic regression;log-linear models;Principal Component Analysis
"Given the concept log-linear models, can you provide some similar concepts? Please provide some similar concepts.",logistic regression;latent variable models;linear regression
"Given the concept loss function, can you provide some similar concepts? Please provide some similar concepts.",logistic regression;log-linear models;cross entropy;linear regression;supervised learning;training;neural networks
"Given the concept machine translation, can you provide some similar concepts? Please provide some similar concepts.",machine translation system;machine translation techniques;neural machine translation;multilingual machine translation;unsupervised machine translation;statistical machine translation;syntax based machine translation
"Given the concept markov chain monte carlo, can you provide some similar concepts? Please provide some similar concepts.",Markov chains;markov random fields;monte carlo methods;hidden markov models;Markov Random Fields;markov decision processes;monte carlo tree search
"Given the concept markov random fields, can you provide some similar concepts? Please provide some similar concepts.",Markov chains;markov chain monte carlo;hidden markov models;markov decision processesconditional random fields
"Given the concept matrix factorization, can you provide some similar concepts? Please provide some similar concepts.",matrix multiplication;Principal Component Analysis;markov random fields;dimensionality reduction;maximum likelihood estimation;recommendation systems
"Given the concept monolingual word embedding, can you provide some similar concepts? Please provide some similar concepts.",bilingual word embeddings;cross-lingual word embeddings;multilingual word embeddings;unsupervised bilingual word embeddings;cross lingual word embeddings;learning word embedding;word embedding
"Given the concept monte carlo tree search, can you provide some similar concepts? Please provide some similar concepts.",monte carlo methods;markov chain monte carlo;a* search;heuristic search;problem solving and search;alphago
"Given the concept morphological analysis, can you provide some similar concepts? Please provide some similar concepts.",morphological typology;morphological disambiguation;morphology and lexicon
"Given the concept multi-modal emotion recognition, can you provide some similar concepts? Please provide some similar concepts.",multimodal affective computing;emotion recognition;multi-modal learning;multimodal embeddings;multimodal fusion;facial recognition systems
"Given the concept multi-modal learning, can you provide some similar concepts? Please provide some similar concepts.",multi-task learning;ensemble learning;multimodal embeddings;multimodal fusion;multi-modal emotion recognition
"Given the concept multilingual word embedding, can you provide some similar concepts? Please provide some similar concepts.",word embedding;monolingual word embeddings;cross lingual word embeddings;cross-lingual word embeddings;bilingual word embeddings
"Given the concept multimodal embeddings, can you provide some similar concepts? Please provide some similar concepts.",multimodal fusion;multi-modal learning;contextualized embeddings
"Given the concept multimodal fusion, can you provide some similar concepts? Please provide some similar concepts.",multimodal embeddings;multimodal learning;multi-modal emotion recognition
"Given the concept neural abstractive summarization model, can you provide some similar concepts? Please provide some similar concepts.",abstractive summarization model;neural summarization;abstractive summarization;neural extractive summarization;controllable summarization
"Given the concept neural machine translation, can you provide some similar concepts? Please provide some similar concepts.",machine translation;multilingual machine translation;machine translation system;unsupervised machine translation;statistical machine translation;machine translation techniques;syntax based machine translation
"Given the concept neural network, can you provide some similar concepts? Please provide some similar concepts.",neural networks;neural network models;recursive neural network;recursive neural networks;training neural networks;recurrent neural network;convolutional neural network
"Given the concept neural question answering, can you provide some similar concepts? Please provide some similar concepts.",question answering;evaluation of question answering;Visual Question Answering;question answering system;neural language modeling;sequence-to-sequence models;lstm
"Given the concept neural semantic parser, can you provide some similar concepts? Please provide some similar concepts.",neural parsing;semantic parsing;neural language modeling
"Given the concept neural topic modeling, can you provide some similar concepts? Please provide some similar concepts.",neural language modeling;neural network models;topic modeling;neural networks
"Given the concept news summarization, can you provide some similar concepts? Please provide some similar concepts.",text summarization;scientific article summarization;single document summarization;extractive summarization;neural summarization
"Given the concept nlp for databases, can you provide some similar concepts? Please provide some similar concepts.",graph-based nlp;knowledge graph;information extraction;code generation semantic parsing
"Given the concept pagerank, can you provide some similar concepts? Please provide some similar concepts.",document ranking;graph-based nlp;document representation;search engine indexing;document modeling;n-gram models
"Given the concept parsing, can you provide some similar concepts? Please provide some similar concepts.",parsing evaluation;parsing model;semantic parsing;statistical parsing;shallow parsing;classic parsing methods;discourse parsing
"Given the concept parts of speech, can you provide some similar concepts? Please provide some similar concepts.",part of speech tagging;statistical part of speech tagging
"Given the concept Principal Component Analysis, can you provide some similar concepts? Please provide some similar concepts.",Canonical Correlation Analysis;matrix factorization;linear discriminant analysis;singular value decomposition;maximum likelihood estimation;spectral clustering
"Given the concept probabilistic context free grammars, can you provide some similar concepts? Please provide some similar concepts.",probabilistic grammars;context free grammars;context-sensitive grammars;context sensitive grammary
"Given the concept probabilistic grammars, can you provide some similar concepts? Please provide some similar concepts.",probablistic context free grammars;context free grammars;context free grammar;context sensitive grammar;combinatory categorial grammar;conditional probability
"Given the concept propositional logic, can you provide some similar concepts? Please provide some similar concepts.",predicate logic;first-order logic;logic and reasoning;first order logic
"Given the concept random forest, can you provide some similar concepts? Please provide some similar concepts.",decision trees;classification;feature selection
"Given the concept recommendation system, can you provide some similar concepts? Please provide some similar concepts.",collaborative filtering;matrix factorization
"Given the concept robotic locomotion, can you provide some similar concepts? Please provide some similar concepts.",robotics;autonomous cars
"Given the concept ROUGE, can you provide some similar concepts? Please provide some similar concepts.",BLUE;text summarization;summarization evaluation
"Given the concept search, can you provide some similar concepts? Please provide some similar concepts.",search engines;informed search;a* search;adversarial search
"Given the concept sentence representations, can you provide some similar concepts? Please provide some similar concepts.",word embeddings;sentence selection;sentence embeddings;sentence segmentation
"Given the concept sentence selection, can you provide some similar concepts? Please provide some similar concepts.",sentence representations;extractive summarization;sentence segmentation;sentence embeddings;sentence boundary recognition
"Given the concept sentiment analysis, can you provide some similar concepts? Please provide some similar concepts.",sentiment classification;aspect sentiment;sentence embeddings;social media analysis;text mining;text classification;neural text classifier
"Given the concept sequence labeling model, can you provide some similar concepts? Please provide some similar concepts.",sequence tagging;sequence-to-sequence models;semantic role labeling;sequence classification and conditional random fields
"Given the concept shallow parsing, can you provide some similar concepts? Please provide some similar concepts.",parsing;semantic parsing;unlexicalized parsing;classic parsing methods;parsing evaluation;parsing model;statistical parsing
"Given the concept spectral clustering, can you provide some similar concepts? Please provide some similar concepts.",spectral methods;clustering;structured sparsity;linear discriminant analysis;
"Given the concept speech recognition, can you provide some similar concepts? Please provide some similar concepts.",speech processing;speech synthesis;unsupervised speech recognition;text to speech generation;speech signal analysis
"Given the concept State Space Models, can you provide some similar concepts? Please provide some similar concepts.",finite state machines;finite state transducers;graphical models;Mixture Models;log-linear models;neural network models
"Given the concept stemming, can you provide some similar concepts? Please provide some similar concepts.",preprocessing
"Given the concept story ending generation, can you provide some similar concepts? Please provide some similar concepts.",text generation;sentence generation;seq2seq text generation;neural text generation
"Given the concept text simplification, can you provide some similar concepts? Please provide some similar concepts.",sentence simplification;text generation;text similarity;sentence embeddings
"Given the concept topic modeling, can you provide some similar concepts? Please provide some similar concepts.",language modeling;language model;neural topic modeling;language models
"Given the concept transfer learning, can you provide some similar concepts? Please provide some similar concepts.",domain adaptation;feature learning;supervised learning;semi supervised learning
"Given the concept Transformers, can you provide some similar concepts? Please provide some similar concepts.",BERT;pretrained langauge models;lstm;rnn;attention networks
"Given the concept universal cross-language representation, can you provide some similar concepts? Please provide some similar concepts.",multilingual model;multilingual machine translation;cross-lingual word embeddings;multilingual word embedding;cross lingual embeddings;distributed word representation
"Given the concept unsupervised speech recognition, can you provide some similar concepts? Please provide some similar concepts.",unsupervised speech-to-text translation;speech recognition;unsupervised learning
"Given the concept unsupervised speech-to-text translation, can you provide some similar concepts? Please provide some similar concepts.",unsupervised speech recognition;speech recognition;text to speech generation;speech signal analysis
"Given the concept WikiHop, can you provide some similar concepts? Please provide some similar concepts.",MedHop;knowledge graph;question answering
"Given the concept word embeddings, can you provide some similar concepts? Please provide some similar concepts.",sentence embeddings;semantic similarity;semantic relatedness;language modeling
"Given the concept a* search, can you provide some similar concepts? Please provide some similar concepts.",heuristic search;graph theory;greedy algorithm;beam search
"Given the concept ELMO, can you provide some similar concepts? Please provide some similar concepts.",Transformers;BERT;language modeling; transformers; pretrained language modeling;word embeddings
